"rank","eigenvalue"
1,-0.201150811479318
2,-0.174661695454466
3,-0.12288277133202
4,-0.0921610598847653
5,-0.0771664971563271
6,-0.0142614086058697
7,-0.00568845083731565
8,0.111314140645074
9,0.191363107559535
10,0.363268479346384
11,0.720830741214336
12,1.10827923805718
13,2.53385366321484
14,3.26924135285809
15,7.38982197185464
