"i","j","k","d_ik","d_ij_plus_jk","excess"
13,9,10,28.9673530474756,23.5993006172133,5.36805243026226
10,14,13,28.9673530474756,23.6068720018606,5.36048104561499
13,14,10,28.9673530474756,23.6068720018606,5.36048104561499
10,2,13,28.9673530474756,23.7245884288769,5.24276461859865
13,2,10,28.9673530474756,23.7245884288769,5.24276461859865
4,7,11,43.6455133621238,38.4529550754012,5.19255828672262
11,7,4,43.6455133621238,38.4529550754012,5.19255828672262
4,3,11,43.6455133621238,38.4569569994314,5.18855636269245
11,3,4,43.6455133621238,38.4569569994314,5.18855636269245
9,14,11,22.3609540666254,17.1786420189064,5.18231204771897
11,14,9,22.3609540666254,17.1786420189064,5.18231204771897
6,1,11,27.6268879914894,22.4530853533339,5.17380263815555
11,1,6,27.6268879914894,22.4530853533339,5.17380263815555
3,7,13,31.7337689116225,26.5794683500678,5.15430056155471
13,7,3,31.7337689116225,26.5794683500678,5.15430056155471
5,1,9,33.1447235277656,27.9934268135575,5.15129671420809
9,1,5,33.1447235277656,27.9934268135575,5.15129671420809
4,1,14,43.0764226305513,37.9276862130495,5.14873641750181
14,1,4,43.0764226305513,37.9276862130495,5.14873641750181
5,7,13,29.5090752021275,24.3873006202779,5.1217745818496
13,7,5,29.5090752021275,24.3873006202779,5.1217745818496
4,5,15,35.6743072835338,30.5893966190361,5.08491066449772
15,5,4,35.6743072835338,30.5893966190361,5.08491066449772
2,14,12,12.3352848773268,7.35709765824245,4.97818721908431
12,14,2,12.3352848773268,7.35709765824245,4.97818721908431
10,14,11,34.6568613133229,29.7214219031667,4.93543941015624
11,14,10,34.6568613133229,29.7214219031667,4.93543941015624
4,3,13,49.2251739066669,44.330050671794,4.89512323487297
13,3,4,49.2251739066669,44.330050671794,4.89512323487297
10,9,14,20.7494397879582,15.8742994688178,4.8751403191404
14,9,10,20.7494397879582,15.8742994688178,4.8751403191404
9,14,13,15.9316610520935,11.0640921176004,4.86756893449312
13,14,9,15.9316610520935,11.0640921176004,4.86756893449312
10,9,12,28.9183691519306,24.0602574701973,4.85811168173322
12,9,10,28.9183691519306,24.0602574701973,4.85811168173322
10,1,15,45.9713619474151,41.1315686337623,4.83979331365286
15,1,10,45.9713619474151,41.1315686337623,4.83979331365286
2,14,7,21.3753394126214,16.6244477499668,4.75089166265456
7,14,2,21.3753394126214,16.6244477499668,4.75089166265456
2,14,15,35.2790651646325,30.5687098227985,4.71035534183396
15,14,2,35.2790651646325,30.5687098227985,4.71035534183396
4,6,8,36.7975190692172,32.1129509199616,4.68456814925559
8,6,4,36.7975190692172,32.1129509199616,4.68456814925559
4,3,12,47.0119838624656,42.3440237290358,4.66796013342983
12,3,4,47.0119838624656,42.3440237290358,4.66796013342983
2,14,13,10.5010175170433,5.84442505130228,4.65659246574103
13,14,2,10.5010175170433,5.84442505130228,4.65659246574103
10,9,11,34.6568613133229,30.0285936317453,4.62826768157768
11,9,10,34.6568613133229,30.0285936317453,4.62826768157768
4,6,10,44.8767095956805,40.2869479003479,4.58976169533263
10,6,4,44.8767095956805,40.2869479003479,4.58976169533263
5,6,10,33.1317928846692,28.5873460553884,4.54444682928079
10,6,5,33.1317928846692,28.5873460553884,4.54444682928079
10,2,14,20.7494397879582,16.2105637492336,4.5388760387247
14,2,10,20.7494397879582,16.2105637492336,4.5388760387247
6,8,9,18.5583398758151,14.0302168604975,4.52812301531766
9,8,6,18.5583398758151,14.0302168604975,4.52812301531766
2,8,4,47.2283298558193,42.715945582058,4.51238427376126
4,8,2,47.2283298558193,42.715945582058,4.51238427376126
10,8,12,28.9183691519306,24.4783185252789,4.44005062665163
12,8,10,28.9183691519306,24.4783185252789,4.44005062665163
4,1,13,49.2251739066669,44.812714663736,4.41245924293096
13,1,4,49.2251739066669,44.812714663736,4.41245924293096
10,8,14,20.7494397879582,16.3727350393451,4.37670474861315
14,8,10,20.7494397879582,16.3727350393451,4.37670474861315
4,3,5,19.3838811341342,15.0649229685276,4.3189581656066
5,3,4,19.3838811341342,15.0649229685276,4.3189581656066
9,1,15,38.6095922998207,34.3294001261876,4.28019217363308
15,1,9,38.6095922998207,34.3294001261876,4.28019217363308
6,1,14,20.7269852056854,16.5640294678722,4.16295573781321
14,1,6,20.7269852056854,16.5640294678722,4.16295573781321
10,8,13,28.9673530474756,24.8530856996932,4.11426734778242
13,8,10,28.9673530474756,24.8530856996932,4.11426734778242
7,1,10,32.0055982179279,27.9022722423197,4.10332597560816
10,1,7,32.0055982179279,27.9022722423197,4.10332597560816
3,6,10,35.3992843281737,31.3161287560776,4.0831555720961
10,6,3,35.3992843281737,31.3161287560776,4.0831555720961
5,8,10,33.1317928846692,29.0885708225938,4.04322206207545
10,8,5,33.1317928846692,29.0885708225938,4.04322206207545
1,14,13,14.2297660543992,10.2021698176151,4.02759623678415
13,14,1,14.2297660543992,10.2021698176151,4.02759623678415
6,1,13,27.4423753819651,23.4490579185587,3.9933174634064
13,1,6,27.4423753819651,23.4490579185587,3.9933174634064
3,8,10,35.3992843281737,31.5137580631979,3.88552626497583
10,8,3,35.3992843281737,31.5137580631979,3.88552626497583
5,6,9,33.1447235277656,29.2714617650839,3.87326176268169
9,6,5,33.1447235277656,29.2714617650839,3.87326176268169
8,14,11,23.4776554554235,19.6067478145259,3.87090764089761
11,14,8,23.4776554554235,19.6067478145259,3.87090764089761
6,14,13,27.4423753819651,23.5844174195878,3.85795796237734
13,14,6,27.4423753819651,23.5844174195878,3.85795796237734
10,7,15,45.9713619474151,42.1503952974407,3.82096664997448
15,7,10,45.9713619474151,42.1503952974407,3.82096664997448
9,14,12,16.3926179050775,12.5767647245405,3.81585318053695
12,14,9,16.3926179050775,12.5767647245405,3.81585318053695
14,7,15,27.5817169853986,23.7822519920797,3.79946499331892
15,7,14,27.5817169853986,23.7822519920797,3.79946499331892
10,14,12,28.9183691519306,25.1195446088008,3.79882454312977
12,14,10,28.9183691519306,25.1195446088008,3.79882454312977
8,7,15,34.47800278152,30.7119175561915,3.76608522532852
15,7,8,34.47800278152,30.7119175561915,3.76608522532852
2,7,15,35.2790651646325,31.5201364921342,3.75892867249831
15,7,2,35.2790651646325,31.5201364921342,3.75892867249831
8,14,12,18.7403491852513,15.00487052016,3.73547866509129
12,14,8,18.7403491852513,15.00487052016,3.73547866509129
7,1,9,24.8171545499254,21.100103734745,3.71705081518033
9,1,7,24.8171545499254,21.100103734745,3.71705081518033
9,7,15,38.6095922998207,34.9619516294382,3.64764067038254
15,7,9,38.6095922998207,34.9619516294382,3.64764067038254
4,7,12,47.0119838624656,43.3701364972307,3.64184736523487
12,7,4,47.0119838624656,43.3701364972307,3.64184736523487
3,6,9,35.5976237599093,32.0002444657731,3.59737929413624
9,6,3,35.5976237599093,32.0002444657731,3.59737929413624
2,14,5,31.6991393832712,28.1660768267963,3.53306255647493
5,14,2,31.6991393832712,28.1660768267963,3.53306255647493
2,9,10,13.2235709118336,9.75176782968069,3.47180308215294
10,9,2,13.2235709118336,9.75176782968069,3.47180308215294
3,1,14,27.482442073831,24.053202263786,3.42923981004497
14,1,3,27.482442073831,24.053202263786,3.42923981004497
2,14,3,33.8928251784393,30.4694349112309,3.42339026720841
3,14,2,33.8928251784393,30.4694349112309,3.42339026720841
10,2,12,28.9183691519306,25.5588557891604,3.35951336277016
12,2,10,28.9183691519306,25.5588557891604,3.35951336277016
9,2,13,15.9316610520935,12.5851457816041,3.34651527048933
13,2,9,15.9316610520935,12.5851457816041,3.34651527048933
1,2,9,13.388611088015,10.0857206367222,3.3028904512928
9,2,1,13.388611088015,10.0857206367222,3.3028904512928
4,14,13,49.2251739066669,45.9338548444536,3.2913190622133
13,14,4,49.2251739066669,45.9338548444536,3.2913190622133
13,7,15,28.6087503651766,25.3377705530467,3.27097981212994
15,7,13,28.6087503651766,25.3377705530467,3.27097981212994
10,2,11,34.6568613133229,31.4041956117539,3.25266570156902
11,2,10,34.6568613133229,31.4041956117539,3.25266570156902
5,1,14,25.1790839893964,21.9495533292552,3.22953066014117
14,1,5,25.1790839893964,21.9495533292552,3.22953066014117
8,1,11,23.4776554554235,20.2769075569079,3.20074789851564
11,1,8,23.4776554554235,20.2769075569079,3.20074789851564
9,2,14,8.20665990369799,5.07112110196075,3.13553880173724
14,2,9,8.20665990369799,5.07112110196075,3.13553880173724
1,7,15,20.9407890381727,17.8562897262429,3.08449931192978
15,7,1,20.9407890381727,17.8562897262429,3.08449931192978
4,3,14,43.0764226305513,40.0787238340024,2.99769879654885
14,3,4,43.0764226305513,40.0787238340024,2.99769879654885
6,14,12,28.0840536457376,25.0970900265279,2.98696361920963
12,14,6,28.0840536457376,25.0970900265279,2.98696361920963
3,5,15,16.6559576897813,13.674156693258,2.98180099652323
15,5,3,16.6559576897813,13.674156693258,2.98180099652323
6,7,11,27.6268879914894,24.653580139924,2.97330785156549
11,7,6,27.6268879914894,24.653580139924,2.97330785156549
7,14,9,24.8171545499254,21.8441148162649,2.97303973366051
9,14,7,24.8171545499254,21.8441148162649,2.97303973366051
4,7,13,49.2251739066669,46.2858771890361,2.9392967176308
13,7,4,49.2251739066669,46.2858771890361,2.9392967176308
5,6,8,23.3506014825661,20.4133490750022,2.93725240756398
8,6,5,23.3506014825661,20.4133490750022,2.93725240756398
2,6,5,31.6991393832712,28.7647750792004,2.9343643040708
5,6,2,31.6991393832712,28.7647750792004,2.9343643040708
4,1,9,46.8530784787134,43.9715596973517,2.88151878136163
9,1,4,46.8530784787134,43.9715596973517,2.88151878136163
9,14,15,38.6095922998207,35.7883768890966,2.82121541072413
15,14,9,38.6095922998207,35.7883768890966,2.82121541072413
8,2,13,19.1151163596655,16.4194440298842,2.69567232978138
13,2,8,19.1151163596655,16.4194440298842,2.69567232978138
3,6,8,25.7757887231702,23.1421317756913,2.63365694747891
8,6,3,25.7757887231702,23.1421317756913,2.63365694747891
9,12,11,22.3609540666254,19.7458269832206,2.61512708340483
11,12,9,22.3609540666254,19.7458269832206,2.61512708340483
4,5,7,31.0929037155023,28.5782082808782,2.51469543462403
7,5,4,31.0929037155023,28.5782082808782,2.51469543462403
2,12,11,18.1806246999203,15.6884939554699,2.49213074445042
11,12,2,18.1806246999203,15.6884939554699,2.49213074445042
3,7,14,27.482442073831,25.0239497891008,2.45849228473013
14,7,3,27.482442073831,25.0239497891008,2.45849228473013
6,8,10,17.8742241661196,15.438196525761,2.43602764035864
10,8,6,17.8742241661196,15.438196525761,2.43602764035864
2,8,6,18.0516531899317,15.6186536985742,2.43299949135743
6,8,2,18.0516531899317,15.6186536985742,2.43299949135743
2,8,5,31.6991393832712,29.269027995407,2.43011138786425
5,8,2,31.6991393832712,29.269027995407,2.43011138786425
12,7,15,24.8442558675746,22.4220298612413,2.42222600633336
15,7,12,24.8442558675746,22.4220298612413,2.42222600633336
2,6,3,33.8928251784393,31.4935577798896,2.39926739854968
3,6,2,33.8928251784393,31.4935577798896,2.39926739854968
10,12,11,34.6568613133229,32.2715782300737,2.38528308324928
11,12,10,34.6568613133229,32.2715782300737,2.38528308324928
13,11,15,28.6087503651766,26.2582684636823,2.35048190149435
15,11,13,28.6087503651766,26.2582684636823,2.35048190149435
5,7,14,25.1790839893964,22.8317820593109,2.34730193008546
14,7,5,25.1790839893964,22.8317820593109,2.34730193008546
